VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-700010,0
VT-200010,0
VT-200019,0
VT-900080,0
VT-012809,2
VT-200010,0
VT-012807,1
VT-012907,1
VT-012809,2
VT-012809,2
VT-012809,2
VT-200010,0
VT-012807,2
VT-012907,2
VT-012809,2
VT-200010,0
VT-012807,1
VT-012907,1
VT-012809,2
VT-200010,0
VT-012807,0
VT-012907,0
VT-012809,2
VT-200010,1
VT-012807,1
VT-012907,1
VT-000027,2
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
200010,1
VT-000027,2
VT-000006,1
VT-012809,2
200010,1
VT-000027,2
VT-000006,1
200010,1
VT-000027,2
VT-000006,1
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000029,1
VT-012807,1
VT-000027,2
VT-000033,1
VT-012809,2
VT-000027,2
VT-012809,2
VT-000027,1
200010,1
VT-000027,2
VT-000006,1
VT-012809,2
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000028,1
VT-000028,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
VT-000027,1
